"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.618683200E-1,2.631325722E-1,-1.222461700E0,-3.497365475E0
7.668426850E-1,4.719314575E-1,-7.894754410E-1,-3.013770103E0
7.718475680E-1,9.234809875E-2,-9.514865875E-1,-2.060428619E0
7.768829680E-1,-8.916993141E-1,-1.367300987E0,7.822442055E-2
7.819183690E-1,-1.222082615E0,-1.302227974E0,2.061957598E0
7.868927340E-1,-1.019243717E0,-8.621568680E-1,2.508190632E0
7.919281340E-1,-5.292959213E-1,-3.183832169E-1,2.609574795E0
7.969330170E-1,-9.200496674E-1,3.456678391E-1,1.415204287E0
8.019379000E-1,-1.931804657E0,7.803831100E-1,-6.273422241E-1
8.069427830E-1,-1.833014011E0,9.821529388E-1,-2.420677662E0
8.119781830E-1,-1.789418221E0,1.347237587E0,-4.032676697E0
8.169525480E-1,-1.820113659E0,1.735292435E0,-4.925721169E0
8.219574310E-1,-1.819643974E0,2.026569366E0,-5.133605957E0
8.269623140E-1,-2.200346470E0,2.218998909E0,-5.279181480E0
8.319977140E-1,-1.754802704E0,2.358310699E0,-4.740684986E0
8.370025970E-1,-7.085099220E-1,2.430646896E0,-3.580551624E0
8.420074800E-1,-3.277757168E-1,2.167647362E0,-2.633373976E0
8.470428800E-1,-3.956911564E-1,1.906229973E0,-1.408326149E0
8.520477630E-1,-6.486511230E-2,1.872814178E0,-4.828453064E-3
8.570526460E-1,2.789742947E-1,1.745956421E0,1.188177586E0
8.620880460E-1,1.093925953E0,1.283356667E0,2.660728693E0
8.670929290E-1,2.381624699E0,6.861524582E-1,4.120349884E0
8.720978120E-1,3.166535139E0,1.201782227E-1,4.834124565E0
8.771026950E-1,3.974772215E0,-3.405427933E-1,4.801843643E0
8.821075780E-1,4.696859837E0,-9.295873642E-1,3.841600418E0
8.871429780E-1,5.065946579E0,-1.419771194E0,2.293651342E0
8.921478610E-1,4.981822014E0,-1.787613869E0,1.327971935E0
8.971527440E-1,4.081691742E0,-1.832159042E0,1.641897678E0
9.021576260E-1,2.505864382E0,-1.374590874E0,2.632102966E0
9.071625090E-1,1.018972158E0,-8.419494629E-1,3.034131050E0
9.121673920E-1,-5.065970421E-1,-5.569610596E-1,2.496821404E0
9.171722750E-1,-2.093262672E0,-4.758224487E-1,1.554937840E0
9.222076750E-1,-3.053416729E0,-3.672389984E-1,6.849839687E-1
9.272125580E-1,-2.919610500E0,6.484889984E-2,-1.353282928E-1
9.322174410E-1,-2.183258772E0,7.864055634E-1,-7.206490040E-1
9.372223240E-1,-1.233006716E0,1.345694542E0,-1.251941442E0
9.422577240E-1,-2.822048664E-1,1.464782715E0,-1.924349785E0
9.472626070E-1,1.266515732E0,1.224172592E0,-2.137911081E0
9.522674900E-1,3.100643396E0,6.409101486E-1,-1.869797468E0
9.572723720E-1,4.516005039E0,-5.893325806E-2,-1.078708410E0
9.622772550E-1,4.671592712E0,-3.805856705E-1,6.219792366E-2
9.673126560E-1,3.688050747E0,-3.153104782E-1,1.453712940E0
9.723175390E-1,2.509180307E0,-4.029769897E-1,2.562607288E0
9.773224210E-1,1.703846097E0,-7.910413742E-1,3.258386612E0
9.823273040E-1,1.280293941E0,-1.225144386E0,3.570580482E0
9.873321870E-1,8.386675119E-1,-1.301053047E0,3.778093338E0
9.923675870E-1,1.276878119E-1,-1.303177834E0,4.133316040E0
9.973724700E-1,-3.167083263E-1,-1.305794716E0,4.108051777E0
1.002377353E0,-2.935363054E-1,-1.203525543E0,4.040881634E0
1.007382236E0,2.144514322E-1,-8.244562149E-1,4.015674591E0
1.012387119E0,-6.638479233E-2,-7.758741379E-1,2.986405373E0
1.017422519E0,-4.186342955E-1,-9.958658218E-1,1.040831804E0
1.022427402E0,-2.229335308E-1,-1.090895653E0,-7.074687481E-1
1.027432285E0,9.355914593E-2,-9.865541458E-1,-1.660547733E0
1.032437167E0,4.570651054E-1,-6.575307846E-1,-2.231518269E0
1.037442050E0,8.991990089E-1,-2.643709183E-1,-2.434924126E0
1.042477451E0,1.083438516E0,1.148271561E-1,-2.385080814E0
1.047482333E0,1.183206677E0,3.353824615E-1,-2.113418579E0
1.052487216E0,1.908644557E0,3.206653595E-1,-1.839199781E0
1.057492099E0,2.796656609E0,3.005027771E-3,-1.729492664E0
1.062496982E0,3.288439035E0,-5.791568756E-1,-1.418992043E0
1.067532382E0,3.049532175E0,-1.199997902E0,-8.704071045E-1
1.072537265E0,2.321408033E0,-1.610922813E0,-8.633208275E-1
1.077542148E0,1.462650537E0,-1.775316238E0,-1.471039534E0
1.082547031E0,1.612237334E0,-2.008830070E0,-1.775975704E0
1.087551914E0,1.846723557E0,-2.254992485E0,-1.570136309E0
1.092587314E0,9.540156126E-1,-1.961176872E0,-1.170835018E0
1.097592197E0,7.255023718E-1,-1.503368378E0,-2.651109695E-1
1.102597080E0,8.671869040E-1,-1.475204468E0,3.754884005E-1
1.107601962E0,1.483786225E0,-1.674521446E0,3.928012848E-1
1.112606845E0,2.308351994E0,-1.494254112E0,-5.635511875E-2
1.117642246E0,9.745463133E-1,-1.367623329E0,-2.203895092E0
1.122647128E0,-4.110082626E0,-1.120658875E0,-5.693799496E0
1.127652011E0,-6.204342842E0,-6.972980499E-1,-7.526168823E0
1.132656894E0,-2.353970528E0,-2.503747940E-1,-6.152979851E0
1.137661777E0,2.275937557E0,-3.552436829E-3,-4.042560577E0
1.142697177E0,4.030534267E0,-4.446907043E-1,-3.247415781E0
1.147702060E0,3.354913712E0,-1.114927292E0,-3.536259651E0
1.152706943E0,2.483660221E0,-1.321599007E0,-2.490586758E0
1.157711826E0,1.854541302E0,-1.212440491E0,5.080593824E-1
1.162716708E0,1.451274991E0,-1.438272476E0,2.600874186E0
