"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.792084080E-1,7.082080841E-1,8.480230331E0,8.246057510E0
8.842132900E-1,1.547576904E0,7.900787354E0,7.352787018E0
8.892486910E-1,2.031194687E0,7.418367386E0,5.852823257E0
8.942535740E-1,2.055150986E0,7.053333282E0,4.928709030E0
8.992584560E-1,1.250518799E0,7.006618500E0,5.289251328E0
9.042633390E-1,-2.470493317E-1,7.461488724E0,6.330451965E0
9.092682220E-1,-1.670352936E0,7.994216919E0,6.780830383E0
9.142731050E-1,-3.142766953E0,8.282590866E0,6.281641006E0
9.192779880E-1,-4.682258606E0,8.370031357E0,5.368007660E0
9.243133880E-1,-5.594394684E0,8.487417221E0,4.520553589E0
9.293182710E-1,-5.406337738E0,8.931507111E0,3.718616486E0
9.343231540E-1,-4.607994080E0,9.668762207E0,3.149953842E0
9.393280370E-1,-3.588054657E0,1.024580956E1,2.635192871E0
9.443634370E-1,-2.562126160E0,1.038116264E1,1.979089737E0
9.493683200E-1,-9.327983856E-1,1.015237999E1,1.784145355E0
9.543732030E-1,9.872989655E-1,9.575632095E0,2.073717117E0
9.593780850E-1,2.490856171E0,8.876407623E0,2.890028000E0
9.643829680E-1,2.730119705E0,8.553297043E0,4.059694290E0
9.694183690E-1,1.819181442E0,8.617979050E0,5.481800079E0
9.744232510E-1,6.974277496E-1,8.530538559E0,6.619125366E0
9.794281340E-1,-6.498146057E-2,8.142446518E0,7.337215424E0
9.844330170E-1,-4.575653076E-1,7.709136963E0,7.663021088E0
9.894379000E-1,-8.776988983E-1,7.637268066E0,7.873537064E0
9.944733000E-1,-1.574527740E0,7.644454956E0,8.220903397E0
9.994781830E-1,-2.006639481E0,7.657630920E0,8.172990799E0
1.004483066E0,-1.968309402E0,7.783401489E0,8.067583084E0
1.009487949E0,-1.440372467E0,8.195150375E0,7.987329483E0
1.014492831E0,-1.702693939E0,8.283788681E0,6.879949570E0
1.019528232E0,-2.037782669E0,8.108009338E0,4.831686020E0
1.024533115E0,-1.823673248E0,8.057701111E0,2.965490341E0
1.029537997E0,-1.487087250E0,8.205930710E0,1.888055801E0
1.034542880E0,-1.102888107E0,8.578451157E0,1.191526413E0
1.039547763E0,-6.384353638E-1,9.014156342E0,8.633251190E-1
1.044583164E0,-4.312133789E-1,9.435487747E0,7.902584076E-1
1.049588046E0,-3.093357086E-1,9.696311951E0,9.435787201E-1
1.054592929E0,4.401969910E-1,9.719070435E0,1.104085922E0
1.059597812E0,1.352333069E0,9.434289932E0,1.104085922E0
1.064602695E0,1.864698410E0,8.878803253E0,1.309810638E0
1.069638095E0,1.639808655E0,8.278997421E0,1.758991241E0
1.074642978E0,9.178256989E-1,7.885215759E0,1.667957306E0
1.079647861E0,5.959129333E-2,7.735488892E0,9.603481293E-1
1.084652744E0,2.102165222E-1,7.514192581E0,5.569839478E-1
1.089657626E0,4.461860657E-1,7.277025223E0,6.683807373E-1
1.094693027E0,-4.503784180E-1,7.580072403E0,9.771175385E-1
1.099697910E0,-6.827545166E-1,8.048118591E0,1.798519135E0
1.104702792E0,-5.426101685E-1,8.086448669E0,2.356101990E0
1.109707675E0,7.636070251E-2,7.895996094E0,2.289323807E0
1.114712558E0,9.046497345E-1,8.085250854E0,1.753002167E0
1.119747958E0,-4.384002686E-1,8.219106674E0,-4.905052185E-1
1.124752841E0,-5.560855865E0,8.471845627E0,-4.084249496E0
1.129757724E0,-7.696559906E0,8.900363922E0,-6.013929367E0
1.134762607E0,-3.859958649E0,9.352838516E0,-4.715198517E0
1.139767490E0,7.836704254E-1,9.605577469E0,-2.658550262E0
1.144802890E0,2.560329437E0,9.167177200E0,-1.909017563E0
1.149807773E0,1.898237228E0,8.495801926E0,-2.241710663E0
1.154812656E0,1.030420303E0,8.284986496E0,-1.230155945E0
1.159817539E0,3.946800232E-1,8.389196396E0,1.750606537E0
1.164822421E0,-2.425575256E-2,8.156820297E0,3.828516006E0
1.169857822E0,-6.258583069E-2,7.502214432E0,3.621593475E0
1.174862705E0,-8.169097900E-1,6.959903717E0,2.290521622E0
1.179867587E0,-1.818881989E0,6.859287262E0,7.974452972E-1
1.184872470E0,-2.487861633E0,7.523775101E0,-9.573535919E-1
1.189877353E0,-3.173910141E0,8.528142929E0,-2.875055313E0
1.194912753E0,-3.294889450E0,9.302530289E0,-3.740476608E0
1.199917636E0,-2.617225647E0,1.030450249E1,-3.031969070E0
1.204922519E0,-2.960699081E0,1.119747353E1,-2.671726227E0
1.209927402E0,-3.850376129E0,1.116273689E1,-2.702869415E0
1.214932285E0,-3.050535202E0,1.073421860E1,-2.002447128E0
1.219967685E0,-2.782524109E0,9.971809387E0,-1.714073181E0
1.224972568E0,-3.145162582E0,9.513345718E0,-1.072343826E0
1.229977451E0,-3.329626083E0,1.026737022E1,1.847629547E-1
1.234982333E0,-2.278543472E0,9.866401672E0,1.980287552E0
1.239987216E0,-1.823673248E0,9.351640701E0,2.778930664E0
1.245022617E0,-3.130788803E0,8.413152695E0,3.269735336E0
1.250027499E0,-3.941110611E0,7.191980362E0,2.094079971E0
1.255032382E0,-7.701950073E-1,5.620447159E0,1.570934296E0
1.260037265E0,-7.115020752E-1,4.534627914E0,9.852027893E-2
1.265042148E0,-3.272130966E0,4.678066254E0,-1.845533371E0
1.270077548E0,-3.194272995E0,6.128919601E0,-1.709880829E-1
1.275082431E0,-4.017770767E0,7.229112625E0,-6.318473816E-1
1.280087314E0,-9.539997101E0,9.368410110E0,-4.616977692E0
1.285092197E0,-3.385623932E0,9.324090958E0,-4.048315048E0
1.290097080E0,1.462532043E0,9.581621170E0,-1.837148666E0
1.295132480E0,1.832357407E0,1.142625618E1,-2.553142548E0
1.300137363E0,1.573928833E0,1.388626862E1,-3.222421646E0
1.305142246E0,1.351135254E0,1.511343002E1,-3.238891602E0
1.310147128E0,1.383476257E0,1.549523354E1,-2.669330597E0
1.315152011E0,7.968463898E-1,1.553236580E1,-1.899435043E0
1.320156894E0,1.346343994E0,1.580157471E1,-5.480003357E-1
1.325192294E0,1.859907150E0,1.603634644E1,5.222473145E-1
1.330197177E0,1.335563660E0,1.448487663E1,1.457141876E0
1.335202060E0,1.273277283E0,1.254681206E1,2.530982971E0
1.340206943E0,9.813098907E-1,1.171223450E1,2.725028992E0
1.345211826E0,5.468025208E-1,1.138672829E1,2.188707352E0
1.350247226E0,1.098995209E-1,1.091748428E1,1.567340851E0
1.355252109E0,-6.971282959E-1,1.011075592E1,8.501491547E-1
1.360256992E0,-6.384353638E-1,1.017274284E1,4.527740479E-1
1.365261874E0,-6.611938477E-1,1.023263359E1,-1.494274139E-1
1.370266757E0,-1.578121185E0,9.642410278E0,-7.728900909E-1
1.375302158E0,-1.957529068E0,9.286958694E0,-8.231983185E-1
1.380307040E0,-2.318071365E0,9.249826431E0,-7.812747955E-1
1.385311923E0,-2.491455078E0,9.260606766E0,-6.833534241E-1
1.390316806E0,-2.910390854E0,9.201913834E0,-6.522102356E-1
1.395321689E0,-3.285306931E0,9.078838348E0,-4.521751404E-1
1.400357089E0,-3.663516998E0,9.090816498E0,-1.314601898E-1
1.405361972E0,-3.990221024E0,9.086025238E0,1.467323303E-2
1.410366855E0,-3.960275650E0,9.252222061E0,2.994537354E-4
1.415371738E0,-4.022562027E0,9.213891983E0,-8.115196228E-2
1.420376621E0,-4.264520645E0,8.917133331E0,1.057071686E-1
1.425412021E0,-4.612785339E0,8.616781235E0,3.413772583E-1
1.430416904E0,-4.809226990E0,8.598814011E0,3.593444824E-1
