"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.313046298E0,-1.238346100E0,-1.054363251E0,4.216384888E-1
1.318051181E0,-1.329936981E0,-1.256771088E0,1.925277710E-1
1.323086581E0,-1.342754364E0,-1.361179352E0,-8.651733398E-2
1.328091464E0,-1.307640076E0,-1.313247681E0,-3.730392456E-1
1.333096347E0,-1.205368042E0,-1.083202362E0,-6.064224243E-1
1.338101230E0,-1.028461456E0,-7.657051086E-1,-7.906723022E-1
1.343106113E0,-8.538246155E-1,-4.408645630E-1,-9.590339661E-1
1.348141513E0,-7.184410095E-1,-1.989364624E-1,-1.118717194E0
1.353146396E0,-6.184387207E-1,-4.873275757E-2,-1.262512207E0
1.358151279E0,-5.502128601E-1,2.042770386E-2,-1.378669739E0
1.363156162E0,-4.948043823E-1,4.405975342E-3,-1.503372192E0
1.368161044E0,-4.628944397E-1,-6.902694702E-2,-1.621532440E0
1.373196445E0,-4.596900940E-1,-2.021408081E-1,-1.712055206E0
1.378201328E0,-4.532814026E-1,-3.480720520E-1,-1.785621643E0
1.383206210E0,-4.426002502E-1,-4.344558716E-1,-1.846370697E0
1.388211093E0,-4.287147522E-1,-4.770469666E-1,-1.890029907E0
1.393215976E0,-4.128265381E-1,-5.142974854E-1,-1.913394928E0
1.398251376E0,-3.914642334E-1,-5.686378479E-1,-1.924076080E0
1.403256259E0,-3.584861755E-1,-6.069564819E-1,-1.925144196E0
1.408261142E0,-3.275108337E-1,-6.101608276E-1,-1.918735504E0
1.413266025E0,-3.232383728E-1,-5.654335022E-1,-1.932621002E0
1.418270908E0,-3.349876404E-1,-5.078887939E-1,-1.955051422E0
1.423306308E0,-3.381919861E-1,-4.791831970E-1,-1.975212097E0
1.428311191E0,-3.200340271E-1,-5.100250244E-1,-1.993370056E0
1.433316074E0,-3.105545044E-1,-5.590248108E-1,-2.015666962E0
1.438320956E0,-3.084182739E-1,-6.379318237E-1,-2.011394501E0
1.443325839E0,-3.116226196E-1,-7.135009766E-1,-1.965599060E0
1.448361240E0,-3.317832947E-1,-7.625007629E-1,-1.900711060E0
1.453366122E0,-3.680992126E-1,-7.742500305E-1,-1.830348969E0
1.458371005E0,-4.106903076E-1,-7.412719727E-1,-1.750507355E0
1.463375888E0,-4.447364807E-1,-6.901359558E-1,-1.684417725E0
1.468380771E0,-4.787826538E-1,-6.283187866E-1,-1.627941132E0
1.473416171E0,-5.183029175E-1,-5.153656006E-1,-1.589622498E0
1.478421054E0,-5.448722839E-1,-3.268432617E-1,-1.563987732E0
1.483425937E0,-5.299186707E-1,-5.300521851E-2,-1.526737213E0
1.488430820E0,-4.841232300E-1,2.217674255E-1,-1.462783813E0
1.493435703E0,-3.797149658E-1,5.157661438E-1,-1.397895813E0
1.498471103E0,-2.806472778E-1,7.523536682E-1,-1.325397491E0
1.503475986E0,-2.189636230E-1,8.876037598E-1,-1.261444092E0
1.508480869E0,-1.869201660E-1,9.578323364E-1,-1.214580536E0
1.513485751E0,-1.646232605E-1,9.877395630E-1,-1.169853210E0
1.518490634E0,-1.166915894E-1,9.898757935E-1,-1.133670807E0
1.523526035E0,-6.341934204E-2,9.941482544E-1,-1.111373901E0
1.528530917E0,-1.335144043E-2,9.994888306E-1,-1.103897095E0
1.533535800E0,3.137588501E-2,1.010036469E0,-1.099624634E0
1.538540683E0,7.730484009E-2,1.016445160E0,-1.086807251E0
1.543545566E0,9.746551514E-2,9.920120239E-1,-1.069717407E0
1.548580966E0,9.319305420E-2,9.578323364E-1,-1.066513062E0
1.553585849E0,7.730484009E-2,9.333992004E-1,-1.069717407E0
1.558590732E0,5.701065063E-2,9.216499329E-1,-1.080398560E0
1.563595615E0,2.616882324E-2,9.141731262E-1,-1.096420288E0
1.568600497E0,-5.340576172E-4,9.120368958E-1,-1.098556519E0
1.573635898E0,-1.869201660E-2,8.865356445E-1,-1.083602905E0
1.578640781E0,-3.137588501E-2,8.460807800E-1,-1.054897308E0
1.583645664E0,-5.807876587E-2,7.906723022E-1,-1.021785736E0
1.588650546E0,-9.319305420E-2,7.416725159E-1,-9.813308716E-1
1.593655429E0,-1.389884949E-1,7.042884827E-1,-9.291267395E-1
1.598690830E0,-1.783752441E-1,6.638336182E-1,-8.662414551E-1
1.603695712E0,-2.295112610E-1,6.255149841E-1,-7.960128784E-1
1.608700595E0,-2.870559692E-1,6.105613708E-1,-7.235145569E-1
1.613705478E0,-3.435325623E-1,6.404685974E-1,-6.564903259E-1
1.618710361E0,-3.871917725E-1,7.395362854E-1,-6.064224243E-1
1.623745761E0,-4.213714600E-1,8.769226074E-1,-5.722427368E-1
1.628750644E0,-4.447364807E-1,1.002559662E0,-5.392646790E-1
1.633755527E0,-4.703712463E-1,1.094284058E0,-5.094909668E-1
1.638760410E0,-4.916000366E-1,1.135807037E0,-4.934692383E-1
1.643765292E0,-5.309867859E-1,1.108036041E0,-5.041503906E-1
1.648800693E0,-5.640983582E-1,1.033535004E0,-4.913330078E-1
1.653805576E0,-5.714416504E-1,9.141731262E-1,-4.487419128E-1
1.658810458E0,-5.694389343E-1,7.491493225E-1,-3.826522827E-1
1.663815341E0,-5.352592468E-1,5.733108521E-1,-2.761077881E-1
1.668820224E0,-4.351234436E-1,5.009460449E-1,-1.419258118E-1
1.673855624E0,-3.243064880E-1,5.179023743E-1,-3.751754761E-2
1.678860507E0,-2.093505859E-1,6.094932556E-1,4.873275757E-2
1.683865390E0,-8.251190186E-2,6.894683838E-1,1.308441162E-1
1.688870273E0,3.992080688E-2,7.341957092E-1,2.329826355E-1
1.693875156E0,1.315116882E-1,7.928085327E-1,3.215026855E-1
1.698910556E0,1.954650879E-1,8.662414551E-1,3.906631470E-1
1.703915439E0,2.423286438E-1,9.440803528E-1,4.567527771E-1
1.708920322E0,2.859878540E-1,9.973526001E-1,5.281829834E-1
1.713925205E0,3.285789490E-1,1.020717621E0,5.898666382E-1
1.718930087E0,3.627586365E-1,1.038875580E0,6.570243835E-1
1.723965488E0,3.839874268E-1,1.067581177E0,7.252502441E-1
1.728970371E0,3.925323486E-1,1.122989655E0,7.827949524E-1
1.733975253E0,3.745079041E-1,1.202831268E0,8.327293396E-1
1.738980136E0,3.371238708E-1,1.284942627E0,8.658409119E-1
1.743985019E0,2.934646606E-1,1.348896027E0,8.849334717E-1
1.748989902E0,2.455329895E-1,1.402034760E0,8.605003357E-1
1.754025302E0,1.241683960E-1,1.413784027E0,8.370018005E-1
1.759030185E0,-4.312515259E-2,1.349964142E0,8.168411255E-1
1.764035068E0,-1.933288574E-1,1.323261261E0,6.867980957E-1
1.769039951E0,-3.446006775E-1,1.353168488E0,5.462074280E-1
1.774044833E0,-4.809188843E-1,1.165580750E0,5.046844482E-1
1.779080234E0,-6.173706055E-1,7.778549194E-1,5.622291565E-1
1.784085117E0,-7.046890259E-1,4.827880859E-1,6.293869019E-1
1.789089999E0,-7.398033142E-1,3.357887268E-1,6.985473633E-1
1.794094882E0,-7.941436768E-1,2.025413513E-1,8.380699158E-1
1.799099765E0,-8.101654053E-1,5.554199219E-2,1.007499695E0
1.804135165E0,-8.080291748E-1,1.401901245E-2,1.234340668E0
1.809140048E0,-7.695770264E-1,-2.429962158E-2,1.479473114E0
1.814144931E0,-7.175064087E-1,-1.062774658E-1,1.759586334E0
1.819149814E0,-6.535530090E-1,-2.799797058E-1,2.025947571E0
1.824154697E0,-6.045532227E-1,-4.717063904E-1,2.297515869E0
1.829190097E0,-5.725097656E-1,-7.380676270E-1,2.597923279E0
1.834194980E0,-5.673027039E-1,-1.084270477E0,2.895126343E0
1.839199863E0,-5.235099792E-1,-1.449565887E0,3.203010559E0
1.844204746E0,-4.000091553E-1,-1.812858582E0,3.505554199E0
1.849209628E0,-2.146911621E-1,-2.104721069E0,3.793144226E0
1.854245029E0,2.723693848E-2,-2.211265564E0,4.013710022E0
1.859249912E0,2.859878540E-1,-2.106857300E0,4.132938385E0
1.864254794E0,6.098937988E-1,-1.457042694E0,4.059505463E0
1.869259677E0,8.889389038E-1,-3.332519531E-1,3.939075470E0
1.874264560E0,1.159572601E0,7.789230347E-1,3.827190399E0
1.879299960E0,1.391754150E0,1.694030762E0,3.599281311E0
1.884304843E0,1.378936768E0,2.217006683E0,3.495941162E0
1.889309726E0,1.165981293E0,1.803646088E0,3.366031647E0
1.894314609E0,9.325981140E-1,1.634349823E0,3.124237061E0
1.899319492E0,6.259155273E-1,1.051692963E0,3.077373505E0
1.904354892E0,4.969406128E-1,6.884002686E-1,2.836513519E0
1.909359775E0,3.413963318E-1,1.269721985E-1,3.074169159E0
1.914364658E0,2.232360840E-1,-9.670448303E-1,3.261623383E0
1.919369540E0,1.624870300E-1,-1.400566101E0,3.217964172E0
1.924374423E0,1.188278198E-1,-1.393222809E0,3.331851959E0
1.929379306E0,1.389884949E-1,-1.676540375E0,3.573780060E0
1.934414706E0,1.475334167E-1,-2.101516724E0,3.770847321E0
1.939419589E0,1.635551453E-1,-2.491378784E0,3.989143372E0
1.944424472E0,2.765083313E-1,-2.769489288E0,4.221458435E0
1.949429355E0,4.607582092E-1,-2.799263000E0,4.452571869E0
1.954434238E0,6.811904907E-1,-2.706604004E0,4.651775360E0
