"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.742534650E0,-1.291244507E0,7.645952225E0,-2.922967911E0
1.747570050E0,-1.183441162E0,7.692667007E0,-3.628181458E0
1.752574933E0,-8.842868805E-1,7.796876907E0,-3.847082138E0
1.757579816E0,-7.249774933E-1,8.080459595E0,-3.114618301E0
1.762584698E0,-2.317771912E-1,8.239768982E0,-2.982858658E0
1.767589581E0,3.189182281E-1,8.052909851E0,-2.825944901E0
1.772594464E0,5.773468018E-1,7.941513062E0,-1.589500427E0
1.777599347E0,9.139328003E-1,7.630380630E0,-1.000474930E0
1.782634747E0,8.744049072E-1,7.312061310E0,-1.107080460E0
1.787639630E0,7.318649292E-1,7.187488556E0,-1.934171677E0
1.792644513E0,8.276901245E-1,7.158740997E0,-2.961297989E0
1.797649396E0,1.338857651E0,7.100048065E0,-2.872659683E0
1.802684796E0,1.697902679E0,7.019794464E0,-1.915006638E0
1.807689679E0,1.422704697E0,6.556539536E0,-7.848682404E-1
1.812694562E0,-2.713050842E-1,6.325660706E0,1.176853180E-1
1.817699444E0,-1.444564819E0,6.794904709E0,8.896770477E-1
1.822704327E0,-1.397850037E0,7.206653595E0,7.746868134E-1
1.827709210E0,-1.251716614E0,7.799272537E0,3.701248169E-1
1.832744610E0,-1.159484863E0,8.554494858E0,5.162582397E-1
1.837749493E0,-8.639240265E-1,8.804838181E0,5.054779053E-1
1.842754376E0,-8.983612061E-4,9.168674469E0,1.356525421E-1
1.847759259E0,1.178350449E0,9.435487747E0,2.425575256E-2
1.852764142E0,1.709880829E0,9.476213455E0,1.045093536E-1
1.857799542E0,2.443841934E0,9.665468216E0,-2.940635681E-1
1.862804425E0,3.229009628E0,9.617555618E0,-7.001228333E-1
1.867809308E0,4.448984146E0,9.360324860E0,-1.133432388E0
1.872814191E0,5.338361740E0,8.888385773E0,-1.342750549E0
1.877819073E0,6.117540359E0,8.351165771E0,-1.108278275E0
1.882854474E0,6.346323013E0,7.849580765E0,-4.689445496E-1
1.887859357E0,6.669433594E0,7.835206985E0,-2.365684509E-2
1.892864239E0,5.449758530E0,7.961875916E0,1.008260727E0
1.897869122E0,4.389093399E0,8.308044434E0,2.104860306E0
1.902874005E0,3.069700241E0,9.441476822E0,2.592071533E0
1.907878888E0,2.823249817E0,9.475015640E0,2.301002502E0
1.912914288E0,3.506603241E0,9.253719330E0,1.646396637E0
1.917919171E0,4.446588516E0,9.331577301E0,5.557861328E-1
1.922924054E0,3.839595795E0,9.846338272E0,-3.934822083E-1
1.927928937E0,2.272554398E0,1.013111877E1,-1.014848709E0
1.932933819E0,2.025804520E0,1.005445862E1,-8.711109161E-1
1.937969220E0,2.303697586E0,1.025569153E1,-5.767478943E-1
1.942974103E0,2.548950195E0,1.058958244E1,-3.264045715E-1
1.947978985E0,2.808876038E0,1.058838463E1,-3.479652405E-1
1.952983868E0,3.495822906E0,1.026048279E1,-7.252769470E-1
1.957988751E0,4.151926041E0,1.021496582E1,-1.303222656E0
1.963024152E0,4.405862808E0,1.031079102E1,-1.911413193E0
1.968029034E0,4.654708862E0,1.006763458E1,-2.361492157E0
1.973033917E0,4.678665161E0,9.395959854E0,-2.447734833E0
1.978038800E0,3.885112762E0,8.951869965E0,-2.202482224E0
1.983043683E0,3.016996384E0,8.597616196E0,-1.790433884E0
1.988048566E0,2.270158768E0,8.429922104E0,-1.328376770E0
1.993083966E0,1.747013092E0,8.340385437E0,-7.037162781E-1
1.998088849E0,9.103393555E-1,8.742551804E0,-1.302623749E-1
2.003093732E0,-6.408309937E-2,9.195026398E0,-6.887435913E-3
2.008098614E0,1.065755844E0,9.145915985E0,-1.122951508E-1
2.013103497E0,2.115640640E0,9.558862686E0,6.019020081E-2
2.018138898E0,3.024183273E0,1.012752533E1,-8.833885193E-2
2.023143780E0,3.950992584E0,1.061713219E1,-1.530208588E-1
2.028148663E0,4.396280289E0,1.108278275E1,-1.937465668E-1
2.033153546E0,4.514564514E0,1.134630203E1,-3.048439026E-1
2.038158429E0,4.336389542E0,1.172091866E1,-2.725028992E-1
2.043193829E0,4.460962296E0,1.210871124E1,-2.593269348E-1
2.048198712E0,5.527317047E0,1.160353279E1,-1.345146179E0
2.053203595E0,5.243734360E0,1.064587975E1,-2.203680038E0
2.058208478E0,4.078859329E0,9.730150223E0,-2.462108612E0
2.063213360E0,2.945426941E0,8.859937668E0,-2.191701889E0
2.068218243E0,2.170740128E0,8.193054199E0,-1.578720093E0
2.073253644E0,1.760189056E0,7.729799271E0,-1.258903503E0
2.078258527E0,1.665561676E0,7.570489883E0,-1.267288208E0
