"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.825603497E0,2.702331543E-1,-2.210197449E0,1.588821411E-1
1.830638898E0,1.765060425E-1,-2.408332825E0,9.492874146E-2
1.835643780E0,1.105499268E-1,-1.989765167E0,7.583618164E-2
1.840648663E0,8.277893066E-2,-1.400699615E0,9.813308716E-2
1.845653546E0,8.384704590E-2,-9.297943115E-1,1.397895813E-1
1.850658429E0,1.403236389E-1,-6.454086304E-1,2.004051208E-1
1.855693829E0,2.361869812E-1,-5.675697327E-1,2.814483643E-1
1.860698712E0,3.245735168E-1,-6.092262268E-1,3.634262085E-1
1.865703595E0,3.799819946E-1,-6.986808777E-1,4.199028015E-1
1.870708478E0,3.831863403E-1,-7.742500305E-1,4.199028015E-1
1.875713360E0,3.534126282E-1,-7.806587219E-1,3.815841675E-1
1.880748761E0,3.097534180E-1,-7.348632812E-1,3.229713440E-1
1.885753644E0,2.648925781E-1,-6.879997253E-1,2.611541748E-1
1.890758527E0,2.126884460E-1,-5.164337158E-1,2.142906189E-1
1.895763409E0,1.978683472E-1,-1.969337463E-1,2.345848083E-1
1.900768292E0,2.383232117E-1,2.153587341E-1,3.037452698E-1
1.905773175E0,3.022766113E-1,5.934715271E-1,4.273796082E-1
1.910808575E0,3.576850891E-1,7.682418823E-1,4.742431641E-1
1.915813458E0,3.662300110E-1,6.841278076E-1,3.964042664E-1
1.920818341E0,2.980041504E-1,5.476760864E-1,2.419281006E-1
1.925823224E0,1.668930054E-1,5.093574524E-1,1.098823547E-1
1.930828107E0,2.523422241E-2,4.614257812E-1,4.913330078E-2
1.935863507E0,-6.422042847E-2,4.710388184E-1,1.081466675E-2
1.940868390E0,-8.865356445E-2,5.317878723E-1,4.405975342E-3
1.945873273E0,-6.208419800E-2,5.871963501E-1,2.042770386E-2
1.950878155E0,-9.880065918E-3,6.223106384E-1,4.058837891E-2
1.955883038E0,4.446029663E-2,6.052207947E-1,5.340576172E-2
1.960918439E0,7.530212402E-2,5.414009094E-1,7.156372070E-2
1.965923321E0,6.462097168E-2,4.507446289E-1,9.386062622E-2
1.970928204E0,1.455307007E-2,3.484725952E-1,8.438110352E-2
1.975933087E0,-4.926681519E-2,2.036094666E-1,3.217697144E-2
1.980937970E0,-1.089477539E-1,5.874633789E-2,-2.536773682E-2
1.985942853E0,-1.483345032E-1,-2.536773682E-2,-6.368637085E-2
