"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.104076398E0,-1.397135735E0,-1.465352774E0,2.975514412E0
1.109111798E0,-1.019002914E0,-1.334820271E0,2.763392925E0
1.114116681E0,-3.963022232E-1,-1.107192278E0,3.556641102E0
1.119121564E0,-8.296957016E-1,-2.483121395E0,4.801200390E0
1.124126446E0,-2.641935349E-1,-1.732632399E0,4.721636295E0
1.129131329E0,7.633533478E-1,-9.236104488E-1,4.477279186E0
1.134166730E0,1.685156822E0,-8.710882664E-1,4.789844513E0
1.139171612E0,2.858731270E0,-7.396838665E-1,5.096026421E0
1.144176495E0,3.709621429E0,-7.335302830E-1,4.829665184E0
1.149181378E0,4.278288841E0,-3.227353096E-1,4.978064060E0
1.154186261E0,4.648270607E0,6.961975098E-1,4.777765751E0
1.159191144E0,5.456973076E0,2.770440578E0,4.320007324E0
1.164226544E0,6.295337677E0,5.723565102E0,4.498282433E0
1.169231427E0,5.536105156E0,8.143741608E0,6.540012360E0
1.174236310E0,3.064805031E0,6.279798508E0,4.123712540E0
1.179241193E0,1.345252991E0,4.128339291E0,2.372701168E0
1.184246075E0,-5.937519073E-1,3.044867516E0,2.307417631E0
1.189281476E0,-2.694637299E0,1.594946861E0,-1.863033056E0
1.194286359E0,-3.335450172E0,-5.743346214E-1,-3.912676334E0
1.199291241E0,-5.687269211E0,-2.485564709E0,-6.295002460E0
1.204296124E0,-1.210069180E1,-4.945718765E0,-9.665282249E0
1.209301007E0,-2.293666840E1,-9.353374481E0,-3.859364510E0
1.214336407E0,-2.219098473E1,-1.027748299E1,6.088537693E0
1.219341290E0,-9.514705658E0,-5.508928776E0,8.285579681E0
1.224346173E0,6.958904743E0,4.604387283E-1,1.206429386E1
1.229351056E0,2.602331734E1,5.510354519E0,1.617654800E1
1.234355939E0,3.590478134E1,8.936489105E0,1.339850712E1
1.239360821E0,2.996692276E1,1.006339931E1,5.788507462E0
1.244396222E0,2.088722420E1,9.960995674E0,3.042437434E-1
1.249401105E0,1.269159889E1,8.683732986E0,-1.336415529E0
1.254405987E0,5.147625923E0,7.058343887E0,-1.875078440E0
1.259410870E0,-2.952423096E-1,5.867315769E0,-2.097933531E0
1.264415753E0,-4.825769901E0,3.431855202E0,-3.579571962E0
1.269451153E0,-5.357210159E0,1.666541576E0,-3.298684835E0
1.274456036E0,-4.513471127E0,8.002438545E-1,-2.344755411E0
1.279460919E0,-4.171185493E0,-3.000626564E-1,-1.022152305E0
1.284465802E0,-4.082634926E0,-9.992012978E-1,1.204172611E0
1.289470685E0,-5.098228455E0,-1.063015938E0,1.617970228E0
1.294506085E0,-5.134258747E0,3.559565544E-1,2.445253372E0
1.299510968E0,-9.889337540E0,-9.098296165E-1,-9.156295061E-1
1.304515851E0,-6.919041157E0,1.066846848E-1,7.077028155E-1
1.309520734E0,-2.717375755E0,1.639103889E0,1.807771683E0
1.314525616E0,-2.423673153E0,2.001975536E0,6.343554854E-1
1.319530499E0,-3.096472740E0,2.076583862E0,-8.182891011E-1
1.324565900E0,-4.437595844E0,1.512228489E0,-2.183248520E0
1.329570782E0,-5.000871658E0,1.285154343E0,-3.146394730E0
1.334575665E0,-4.152659893E0,1.120401382E0,-4.351313591E0
1.339580548E0,-3.808979511E0,1.611909866E-1,-4.348635674E0
1.344585431E0,-3.588154793E0,-8.208036423E-1,-4.109695911E0
